hour,load_kW,pv_kW,price_eur_per_kWh,grid_import_kW,ch_BAT_A_kW,dis_BAT_A_kW,soc_BAT_A_kWh,throughput_BAT_A_kWh,ch_BAT_B_kW,dis_BAT_B_kW,soc_BAT_B_kWh,throughput_BAT_B_kWh
0,70.0,0.0,0.1319615242270663,-56.600051348414425,0.00013533497098136465,77.60019282643074,19.999932651545617,77.6003689044633,0.0,48.9999801833909,10.000006804175792,48.99996243820681
1,70.34074173710931,0.0,0.12242640687119283,70.34078598382973,2.440746193425862e-05,0.0,19.999981878977604,0.0,0.0,2.4738754135304508e-06,10.000001876306186,1.1813176874639299e-08
2,71.33974596215562,0.0,0.10999999999999999,71.33975821817606,6.684169843079088e-06,0.0,19.999995360318838,0.0,0.0,6.078805674931768e-07,10.000000665422093,2.897531493528926e-09
3,72.92893218813452,0.0,0.09552914270615125,72.92893661910468,2.146285230154099e-06,0.0,19.99999968929468,0.0,5.3402477279971164e-08,0.0,10.000000772874241,0.0
4,75.0,0.0,0.07999999999999999,75.00000534955994,1.8422495231879504e-06,0.0,20.000003405417804,0.0,8.148707684184908e-07,0.0,10.000002411907582,0.0
5,77.41180954897479,0.0,0.06447085729384874,77.4118263846778,5.172366011155909e-06,0.0,20.000013839376628,0.0,3.191298388059894e-06,0.0,10.00000883085578,0.0
6,80.0,0.0,0.05,80.00006159188332,1.8705924760215623e-05,0.0,20.0000515740718,0.0,1.1892285134928037e-05,0.0,10.000032750878947,0.0
7,82.58819045102521,10.35276180410083,0.03757359312880715,72.23565671448203,6.9140381596454e-05,0.0,20.00019104817218,0.0,4.416152742030611e-05,0.0,10.000121576930256,0.0
8,85.0,19.999999999999996,0.028038475772933683,65.00084525825079,0.0002559670476295598,0.0,20.00070740017441,0.0,0.00016395052980974312,0.0,10.000451345373731,0.0
9,87.07106781186548,28.2842712474619,0.022044450422655903,66.70915199225225,5.448892273004506,0.0,25.2875388763333,5.447153503243511,2.4712255639217453,0.0,12.423145528317413,2.470108337774809
10,88.66025403784438,34.64101615137754,0.020000000000000004,204.0229606732919,100.00111190238312,0.0,122.28980780066769,99.99995495301313,50.00071971937305,0.0,61.424604162655235,49.99998071058408
11,89.65925826289069,38.63703305156273,0.022044450422655903,139.67452320882447,59.49286561158535,0.0,179.99929283925508,59.491127586612336,29.157195538102187,0.0,89.99954873173684,29.15607855842682
12,90.0,40.0,0.02803847577293369,50.000845014376004,0.00025587690477139505,0.0,179.99980900953338,0.0,0.00016391945248912096,0.0,89.99987843769816,0.0
13,89.65925826289069,38.63703305156273,0.037573593128807155,51.022453177401594,6.910670932302078e-05,0.0,179.99994841574298,0.0,4.4144876865573976e-05,0.0,89.99996723026582,0.0
14,88.66025403784438,34.64101615137755,0.05,54.019299319631415,1.8662298916271725e-05,0.0,179.99998606245475,0.0,1.185706009799296e-05,0.0,89.99999107943947,0.0
15,87.07106781186548,28.284271247461902,0.06447085729384876,58.78681287030712,5.03272692837214e-06,0.0,179.9999962147748,0.0,3.0676886801128077e-06,0.0,89.99999724976041,0.0
16,85.0,19.999999999999996,0.08,65.00000340160568,1.3311336248042976e-06,0.0,179.99999890002005,0.0,3.5790430654664145e-07,0.0,89.99999796965454,0.0
17,82.58819045102521,10.35276180410084,0.09552914270615125,72.23542586033908,2.5542360351482354e-07,0.0,179.99999941528475,0.0,0.0,1.6586529174531354e-06,89.99999466588953,8.054179319171631e-09
18,80.0,4.898587196589413e-15,0.11,79.99998549846948,0.0,3.2119164056610176e-07,179.9999987768426,2.342863764204487e-09,0.0,6.965731633300166e-06,89.99998079130317,3.383108804739299e-08
19,77.41180954897479,0.0,0.12242640687119286,77.41175459914298,0.0,1.535567285234569e-06,179.99999572457656,1.121610966796433e-08,0.0,2.6077059743127147e-05,89.99992885011171,1.2665235031098104e-07
20,75.0,0.0,0.1319615242270663,74.99979573235356,0.0,5.780388464174711e-06,179.99998423483243,4.222428195145319e-08,0.0,9.686628304586798e-05,89.99973590849247,4.7046533589547267e-07
21,72.92893218813452,0.0,0.1379555495773441,-8.601200877291085,0.0,54.2002899240113,124.12336704180663,54.200250560472114,0.0,27.329299807669237,62.11219240855351,27.328640757278134
22,71.33974596215562,0.0,0.14,-78.66118167971818,0.0,100.00002632105634,21.030531778195968,100.0000010434932,0.0,50.000443397280364,11.090907469573681,50.00001174851606
23,70.34074173710931,0.0,0.1379555495773441,68.27240330151864,0.0,0.9995654208907212,20.00002195303181,0.9995256135980223,0.0,1.068209370724325,10.000375481141337,1.067524694546727
